arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
7.1,0.0,8.4,0,0,13.9,0.0,11.5,0.0,0.0,14.6,0.0,12.0,0.0,0.0
9.7,0.2,9.5,6,0,14.1,0.3,11.8,6.0,0.0,14.8,0.2,12.8,6.0,0.0
10.0,1.6,9.3,6,0,15.1,0.5,14.0,6.0,0.0,15.4,1.8,15.2,6.0,0.0
11.9,0.0,11.3,0,0,17.8,0.0,14.7,0.0,0.0,18.9,0.0,15.9,0.0,0.0
13.1,0.0,11.6,0,0,17.6,0.0,15.1,0.0,0.0,19.1,0.0,15.6,0.0,0.0
14.4,0.3,10.6,6,0,17.6,2.3,14.7,6.0,0.0,19.4,1.8,15.4,6.0,0.0
11.2,2.2,12.9,6,0,14.8,2.6,16.1,6.0,0.0,16.4,1.3,17.9,6.0,0.0
8.5,24.4,11.2,6,0,14.3,5.4,15.0,6.0,0.0,14.4,6.0,15.4,6.0,0.0
7.8,18.6,10.4,6,0,15.4,6.7,13.6,6.0,0.0,15.7,1.2,13.8,6.0,0.0
8.6,31.0,10.9,6,0,15.2,5.3,15.6,6.0,0.0,15.6,0.5,16.0,6.0,0.0
8.8,2.2,10.6,6,0,14.7,13.0,15.4,6.0,0.0,16.1,4.7,14.6,6.0,0.0
9.1,12.6,11.3,6,0,15.7,1.7,16.3,6.0,0.0,16.1,1.4,16.1,6.0,0.0
9.1,0.0,11.3,0,0,15.4,0.0,15.1,0.0,0.0,17.0,0.0,14.4,0.0,0.0
11.2,0.0,10.7,0,0,16.0,0.0,14.7,0.0,0.0,16.7,0.0,14.4,0.0,0.0
13.4,0.0,9.3,0,0,17.1,0.0,13.2,0.0,0.0,19.0,0.0,13.9,0.0,0.0
14.4,0.0,9.2,0,0,17.8,0.0,13.1,0.0,0.0,19.9,0.0,12.8,0.0,0.0
13.8,0.0,11.3,0,0,16.8,0.0,15.1,0.0,0.0,18.8,0.0,15.8,0.0,0.0
13.9,1.6,12.2,6,0,19.0,2.0,16.5,6.0,0.0,18.4,0.0,16.0,0.0,0.0
13.6,0.0,12.6,6,0,18.3,0.0,17.6,0.0,0.0,18.7,0.0,17.5,0.0,0.0
11.4,13.6,12.6,6,0,15.5,41.6,16.8,6.0,0.0,16.8,12.1,16.4,6.0,0.0
10.4,0.2,9.6,6,0,16.0,1.0,14.5,6.0,0.0,15.9,12.5,14.9,6.0,0.0
11.9,5.5,10.7,6,0,16.7,0.8,14.5,6.0,0.0,17.8,0.2,15.6,6.0,0.0
11.0,0.4,12.2,6,0,15.6,20.4,16.1,6.0,0.0,17.0,3.6,15.3,6.0,0.0
7.7,17.1,10.7,6,0,14.2,7.4,15.3,6.0,0.0,14.6,4.3,15.8,6.0,0.0
9.2,1.6,8.0,6,0,13.6,0.1,11.7,6.0,0.0,14.6,0.3,12.6,6.0,0.0
7.4,0.0,8.4,0,0,13.4,0.0,11.4,0.0,0.0,15.3,0.0,11.6,0.0,0.0
6.2,0.7,9.3,6,0,13.0,0.7,12.9,6.0,0.0,13.7,0.0,13.4,0.0,0.0
5.4,0.0,9.0,0,0,12.4,0.0,12.2,0.0,0.0,13.0,1.1,13.6,6.0,0.0
4.3,2.4,8.1,6,0,12.5,0.0,11.0,6.0,0.0,13.1,0.0,11.1,0.0,0.0
8.4,0.4,10.2,6,0,16.4,0.0,13.5,6.0,0.0,15.5,0.0,13.8,0.0,0.0
9.2,0.4,11.0,6,0,16.4,0.0,13.0,0.0,0.0,16.7,1.4,14.2,6.0,0.0
3.4,1.6,7.5,6,0,11.8,1.2,10.1,6.0,0.0,11.7,2.8,11.3,6.0,0.0
0.6,4.3,6.5,8,0,9.3,3.5,9.1,8.0,0.0,9.5,3.3,9.0,6.0,0.0
1.8,0.6,6.8,8,2,11.2,0.6,11.0,6.0,0.0,9.8,0.3,10.0,6.0,0.0
1.4,1.7,6.6,8,0,9.7,0.4,10.3,6.0,0.0,9.9,0.0,9.5,6.0,0.0
2.4,0.4,7.0,6,0,8.6,0.5,9.8,6.0,0.0,9.4,0.1,10.1,6.0,0.0
3.7,0.2,7.4,6,0,11.0,1.5,10.4,6.0,0.0,11.6,0.0,10.6,6.0,0.0
4.0,0.4,7.7,6,0,11.7,0.0,10.9,0.0,0.0,11.8,0.0,11.5,0.0,0.0
3.6,19.1,7.8,8,0,11.2,4.6,10.8,6.0,0.0,11.1,4.8,11.6,6.0,0.0
